Address,Value
12288,20
12289,0
12290,0
12291,0
12292,0
12293,0
12294,0
12295,0
12296,40
12297,0
12298,0
12299,0
12300,0
12301,0
12302,0
12303,0
12304,60
12305,0
12306,0
12307,0
12308,0
12309,0
12310,0
12311,0
